"feature_id","timestamp","tokens"
1,1464105181,47
1,1465173345,0
1,1465223762,47
1,1465825373,55
1,1469262184,0
1,1469279249,55
1,1495716631,59
1,1496841496,54
1,1501769528,53
1,1509648111,52
1,1516921146,51
1,1518731891,48
1,1525790592,44
2,1467495192,109
2,1467769039,122
2,1476553166,0
2,1476563967,122
2,1479677527,0
2,1479728202,122
2,1482703473,0
2,1482772094,122
2,1486047240,0
2,1486050850,122
2,1497039991,104
2,1499717329,167
2,1499962247,0
2,1499969462,167
2,1505466554,0
2,1505477360,167
2,1509136611,104
2,1514356807,0
2,1514480137,104
2,1520947424,0
2,1520951024,104
2,1522082411,122
2,1522086012,104
2,1522262537,121
2,1523405883,116
2,1524668846,121
2,1526462729,0
2,1526477140,121
2,1529765342,0
2,1529848225,121
2,1530631169,126
2,1531860557,0
2,1531867780,126
2,1532651662,132
2,1533271739,127
2,1533570967,10127
3,1402725600,1431
3,1434693600,1429
3,1460144512,0
3,1460153248,1429
3,1460648584,0
3,1460652183,1429
3,1461066771,1530
3,1464725686,0
3,1464794191,1530
3,1474312974,0
3,1474316574,10101
3,1476897090,10104
3,1481132304,10108
3,1484335283,10124
3,1486288885,10104
3,1486292495,10124
3,1486548498,10104
3,1486552105,10124
3,1486635006,10104
3,1486638607,10124
4,1366956000,112
4,1374040800,116
4,1374127200,117
4,1374472800,120
4,1377756000,118
4,1378360800,117
4,1378879200,115
4,1384408800,116
4,1411538400,106
4,1424844000,104
4,1427349600,98
4,1429509600,100
4,1434952800,104
4,1440741600,101
4,1453960800,104
4,1458194400,101
4,1460095200,1530
4,1464725686,0
4,1464794191,1530
4,1474312974,0
4,1474316574,10101
4,1476897090,10104
4,1481132304,10108
4,1484335283,10124
4,1486288885,10104
4,1486292495,10124
4,1486548498,10104
4,1486552105,10124
4,1486635006,10104
4,1486638607,10124
5,1459989179,1475
5,1460462717,1325
5,1463455593,1201
5,1468817924,691
5,1469915890,0
5,1470020332,691
5,1470056351,0
5,1470059950,691
5,1475119892,350
5,1480311807,100
5,1480894487,0
5,1480942905,100
5,1483250209,0
6,1447048800,4700
6,1462366480,5600
6,1470171581,5800
6,1471403250,6200
6,1472506991,7100
6,1478127682,7500
6,1481724806,7700
6,1509817450,8000
6,1510912743,0
6,1510934355,8000
6,1510937964,0
6,1510948767,8000
6,1513832609,0
6,1513865036,8000
6,1516598959,0
6,1516628926,8000
6,1518227598,0
6,1518231205,8000
6,1520068247,0
6,1520093986,8000
6,1521844580,7700
6,1525387202,8000
6,1527277766,7700
7,1379656800,2670
7,1423029600,5340
7,1423116000,2670
7,1435816800,5340
7,1435903200,2670
7,1454047200,5340
7,1454133600,2670
8,1465306367,5
8,1465319290,11
8,1467769039,13
8,1476553166,0
8,1476563967,13
8,1479677527,0
8,1479728202,13
8,1482703473,0
8,1482772094,13
8,1486047240,0
8,1486050850,13
8,1492847097,7
8,1492850694,13
8,1495266108,7
8,1495269748,13
8,1497039991,7
8,1499717329,11
8,1499962247,0
8,1499969462,11
8,1505466554,0
8,1505477360,11
8,1509136611,7
8,1514356807,0
8,1514480137,7
8,1520947424,0
8,1520951024,7
8,1522082411,13
8,1522086012,7
8,1526462729,0
8,1526477140,7
8,1529765342,0
8,1529848225,7
8,1531860557,0
8,1531867780,7
8,1533570967,10007
9,1402725600,1431
9,1434693600,1429
9,1460144512,0
9,1460153248,1429
9,1460648584,0
9,1460652183,1429
9,1461066771,1454
9,1464711278,1453
9,1474312974,0
9,1474316574,10024
9,1484335283,10030
9,1486288885,10024
9,1486292495,10030
9,1486548498,10024
9,1486552105,10030
9,1486635006,10024
9,1486638607,10030
10,1366956000,21
10,1371276000,20
10,1374040800,23
10,1374127200,24
10,1411538400,22
10,1429509600,23
10,1435039200,22
10,1445407200,24
10,1460095200,1454
10,1464711278,1453
10,1474312974,0
10,1474316574,10024
10,1484335283,10030
10,1486288885,10024
10,1486292495,10030
10,1486548498,10024
10,1486552105,10030
10,1486635006,10024
10,1486638607,10030
11,1442642400,19
11,1449554400,18
12,1442296800,17
12,1454652000,32
12,1456466400,16
12,1457416800,32
12,1458194400,16
12,1459317600,31
12,1466054778,16
